ORDEN,NOMBRE_BAREMO,DOMINIO,TABLA_OBJETIVO,CAMPO_OBJETIVO,REGLA,CAMPO_EVAL,VALOR_ORIGEN,VALOR_DESTINO,DESCRIPCION_VALOR,PROCESOS
1,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,0,,RDDOL01
2,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,419,,RDDOL01
3,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,429,,RDDOL01
4,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,71,,RDDOL01
5,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,237,,RDDOL01
6,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1000,,RDDOL01
7,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1361,,RDDOL01
8,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,142,,RDDOL01
9,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,143,,RDDOL01
10,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,430,,RDDOL01
11,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1005,,RDDOL01
12,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1169,,RDDOL01
13,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1170,,RDDOL01
14,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1171,,RDDOL01
15,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1275,,RDDOL01
16,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1277,,RDDOL01
17,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,1278,,RDDOL01
18,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,2068,,RDDOL01
19,CLACON_Dolares,,,COD_CLAVE_OPER,Clacon,Cadena,IN,2135,,RDDOL01
